"年別","月份","國家名稱","1-12歲","13-19歲","20-29歲","30-39歲","40-49歲","50-59歲","60歲以上","小計"
"Year","Month","Countries","1-12Years","13-19Years","20-29Years","30-39Years","40-49Years","50-59Years","60Years and Over","Subtotals"
"108","10","哥倫比亞(Colombia)","0","0","0","0","0","0","0","0"
"108","10","厄瓜多爾(Ecuador)","0","0","0","0","0","0","0","0"
"108","10","巴拉圭(Paraguay)","0","0","0","0","0","0","0","0"
"108","10","秘魯(Peru)","0","0","0","0","0","0","0","0"
"108","10","烏拉圭(Uruguay)","0","0","0","0","0","0","0","0"
"108","10","蘇利南(Suriname)","0","0","0","0","0","0","0","0"
"108","10","蓋亞納(Guyana)","0","0","0","0","0","0","0","0"
"108","10","澳洲(Australia)","854","310","3026","3387","2626","2907","3082","16192"
"108","10","紐西蘭(New Zealand)","131","41","317","595","406","635","828","2953"
"108","10","裴濟(Fiji)","0","0","0","0","0","0","0","0"
"108","10","諾魯(Nauru)","0","0","1","1","2","0","0","4"
"108","10","帛琉(Palau)","29","13","310","410","246","152","133","1293"
"108","10","東加(Tonga)","0","0","0","0","0","0","0","0"
"108","10","巴布亞新幾內亞(Papua New Guinea)","0","0","0","0","0","0","0","0"
"108","10","萬那杜(Vanuatu)","0","0","0","0","0","0","0","0"
"108","10","馬紹爾(Marshall)","0","0","2","1","3","2","2","10"
"108","10","大溪地(Tahiti)","0","0","0","0","0","0","0","0"
"108","10","密克羅尼西亞(Micronesian)","0","0","0","0","0","0","0","0"
"108","10","比利時(Belgium)","0","0","0","0","0","0","0","0"
"108","10","法國(France)","77","65","1042","1797","1478","1671","1465","7595"
"108","10","德國(Germany)","80","71","747","1471","1352","1619","1298","6638"
"108","10","義大利(Italy)","36","20","356","807","537","652","526","2934"
"108","10","荷蘭(Netherlands)","117","32","851","1646","1236","1173","939","5994"
"108","10","英國(U.K.)","95","35","607","960","611","650","495","3453"
