"年別","月份","國家名稱","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_蘇澳","輪船_花蓮","輪船_金門","輪船_馬祖","輪船_其他","小計"
"Years","Months","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Suao","Sea. Hualien","Sea. Kinmem","Sea. Matsu","Sea. Others","Subtotals"
"98","1","委內瑞拉(Venezuela)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","玻利維亞(Bolivia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","哥倫比亞(Colombia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","厄瓜多爾(Ecuador)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴拉圭(Paraguay)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","秘魯(Peru)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","烏拉圭(Uruguay)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","蘇利南(Suriname)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","蓋亞納(Guyana)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","澳洲(Australia)","0","8991","0","543","0","0","0","0","0","0","0","0","0","9534"
"98","1","紐西蘭(New Zealand)","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"98","1","裴濟(Fiji)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","諾魯(Nauru)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","帛琉(Palau)","0","891","0","0","0","0","0","0","0","0","0","0","0","891"
"98","1","東加(Tonga)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴布亞新幾內亞(Papua New Guinea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","萬那杜(Vanuatu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬紹爾(Marshall)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","大溪地(Tahiti)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","密克羅尼西亞(Micronesian)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","比利時(Belgium)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","法國(France)","0","1339","0","8","0","0","0","0","0","0","0","0","0","1347"
"98","1","德國(Germany)","0","3067","0","161","0","0","0","0","0","0","0","0","0","3228"
"98","1","義大利(Italy)","0","795","0","26","0","0","0","0","0","0","0","0","0","821"
"98","1","荷蘭(Netherlands)","0","7136","0","39","0","0","0","0","0","0","0","0","0","7175"
"98","1","英國(U.K.)","0","3968","0","17","0","0","0","0","0","0","0","0","0","3985"
"98","1","西班牙(Spain)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","瑞典(Sweden)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","瑞士(Switzerland)","0","308","0","0","0","0","0","0","0","0","0","0","0","308"
"98","1","挪威(Norway)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","丹麥(Denmark)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","愛爾蘭(Ireland)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","冰島(Iceland)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","葡萄牙(Portugal)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","芬蘭(Finland)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","奧地利(Austria)","0","2082","0","12","0","0","0","0","0","0","0","0","0","2094"
"98","1","南斯拉夫(Yugoslavia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","希臘(Greece)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬爾他(Malta)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","盧森堡(Luxembourg)","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"98","1","摩納哥(Monaco)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","安道爾(Andorra)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","列支敦斯登(Liechtenstein)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","白俄羅斯(Belarus)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","烏克蘭(Ukraine )","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","教廷(Holy See)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","克羅埃西亞(Croatia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","波士尼亞(Bosnia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","愛沙尼亞(Estonia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","立陶宛(Lithuania)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","拉脫維亞(Latvia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬其頓(Macedonia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","斯洛凡尼亞(Slovenia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","斯洛伐克(Slovakia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","俄羅斯(Russian Federation)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","東德(German Democratic)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","波蘭(Poland)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","捷克(Czech)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","匈牙利(Hungary)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","阿爾巴尼亞(Albania)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","羅馬尼亞(Romania)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","摩爾多瓦(Moldova)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","聖馬利諾(San Marino)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","日本(Japan)","0","56822","0","7382","53","0","0","0","0","0","0","0","0","64257"
"98","2","韓國(Korea)","0","28053","0","2949","0","0","0","0","0","0","0","0","0","31002"
"98","2","北韓(Democratic People's Republic of Korea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
